lat,lon,name,category,address
13.0203271,80.2292838,Unnamed Apartment,Apartment Complex,", Chennai"
13.023057,80.2293772,Unnamed Apartment,Apartment Complex,", Chennai"
13.0228431,80.2290897,Unnamed Apartment,Apartment Complex,", Chennai"
13.0226996,80.2296188,Unnamed Apartment,Apartment Complex,", Chennai"
13.0226288,80.2298036,Unnamed Apartment,Apartment Complex,", Chennai"
13.1019183,80.2924381,Unnamed Apartment,Apartment Complex,", Chennai"
13.1019786,80.292454,Unnamed Apartment,Apartment Complex,", Chennai"
13.006335,80.2440951,Unnamed Apartment,Apartment Complex,", Chennai"
13.0059407,80.2440296,Unnamed Apartment,Apartment Complex,", Chennai"
12.992323,80.2193104,Cee Deeyes Guindy Park,Residential Apartment,", Chennai"
12.9920921,80.2195357,Unnamed Apartment,Apartment Complex,", Chennai"
12.9917253,80.2198572,Yamini,Residential Apartment,", Chennai"
12.9890499,80.2212625,Aditya Residences,Residency,", Chennai"
13.1016267,80.2930361,Unnamed Apartment,Apartment Complex,", Chennai"
13.101247,80.2929922,Unnamed Apartment,Apartment Complex,", Chennai"
13.1019447,80.2920304,Unnamed Apartment,Apartment Complex,", Chennai"
13.1018516,80.2920305,Unnamed Apartment,Apartment Complex,", Chennai"
13.1013001,80.291827,Unnamed Apartment,Apartment Complex,", Chennai"
13.1017141,80.2917535,Unnamed Apartment,Apartment Complex,", Chennai"
12.964259,80.125787,SAANVI Seven Star Homes,Residential Apartment,"39th Street, Shankar Nagar, Pammal, Chennai"
13.0029009,80.26518,Unnamed Apartment,Apartment Complex,", Chennai"
13.0024841,80.2665544,Unnamed Apartment,Apartment Complex,", Chennai"
13.002625,80.2662898,Unnamed Apartment,Apartment Complex,", Chennai"
13.0027588,80.2660133,Unnamed Apartment,Apartment Complex,", Chennai"
12.9816365,80.2598697,Unnamed Apartment,Apartment Complex,", Chennai"
12.9811278,80.2595928,Unnamed Apartment,Apartment Complex,", Chennai"
12.9811227,80.2599821,Unnamed Apartment,Apartment Complex,", Chennai"
12.9985298,80.215558,Unnamed Apartment,Apartment Complex,", Chennai"
12.9987714,80.2156777,Unnamed Apartment,Apartment Complex,", Chennai"
12.9990956,80.215811,Unnamed Apartment,Apartment Complex,", Chennai"
12.9996504,80.2132358,Somerset House,Residential Apartment,", Chennai"
13.0669319,80.2085993,Unnamed Apartment,Apartment Complex,", Chennai"
13.0666886,80.207531,Unnamed Apartment,Apartment Complex,", Chennai"
13.0995696,80.2875494,Unnamed Apartment,Apartment Complex,", Chennai"
13.0989346,80.2876778,Macro Residency,Residency,", Chennai"
13.0208625,80.2314214,Unnamed Apartment,Apartment Complex,", Chennai"
13.0194618,80.2309402,Unnamed Apartment,Apartment Complex,", Chennai"
13.1005392,80.2898225,Sree Venkateswara Matriculation School,Residential Apartment,", Chennai"
12.9610095,80.2400148,Unnamed Apartment,Apartment Complex,", Chennai"
12.9580371,80.2420141,Unnamed Apartment,Apartment Complex,", Chennai"
12.9583765,80.2428584,Prakruti Apartment,Apartment Complex,", Chennai"
13.0517806,80.2272167,Unnamed Apartment,Apartment Complex,", Chennai"
13.0519295,80.227248,Unnamed Apartment,Apartment Complex,", Chennai"
13.0520838,80.2272941,Berne's Manor,Residential Apartment,", Chennai"
13.0522398,80.2273133,Unnamed Apartment,Apartment Complex,", Chennai"
13.0143786,80.2346332,Flora International Hostel,Residential Apartment,", Chennai"
13.1359633,80.2957262,kasimedu,Residential Apartment,", Chennai"
13.0771384,80.1935323,Crown Residences,Residency,", Chennai"
12.9224267,80.1578001,Unnamed Apartment,Apartment Complex,", Chennai"
12.9224734,80.1574282,Unnamed Apartment,Apartment Complex,", Chennai"
13.0096999,80.2543081,Adyar Annora Apartments,Apartment Complex,"B. Ramachandra Adithanar Road, Chennai"
13.1035019,80.275852,Unnamed Apartment,Apartment Complex,", Chennai"
13.103373,80.275873,Unnamed Apartment,Apartment Complex,", Chennai"
13.1033373,80.2756499,Unnamed Apartment,Apartment Complex,", Chennai"
13.1026753,80.2757078,Unnamed Apartment,Apartment Complex,", Chennai"
13.1024744,80.27596,Unnamed Apartment,Apartment Complex,", Chennai"
13.1022361,80.2757429,Unnamed Apartment,Apartment Complex,", Chennai"
